vendorID,fileID,blID,dateID,amount
APLU,L01-116323,APLUAQV0106678,6/5/2019,6288.00
APLU,L01-116595,OUMA0012905,7/2/2019,860.00
APLU,L01-116640,01-01-0136807,8/8/2019,140.00
APLU,L01-116775,APLUAXK0157221,6/21/2019,100.00
APLU,L01-119309,APLUNPXH003504,9/4/2019,1664.00
APLU,L03-031788,APLU719169509,12/26/2018,1600.00
APLU,L03-032028,SPEE010113,1/9/2019,4555.00
APLU,L03-034948,APLUSHHB002979,9/4/2019,2388.00
APLU,L05-032318,APLUTXHY004899,9/3/2019,4762.00
APLU,L07-086620,CHID003181,7/29/2019,115.00
APLU,L07-109593,APLUSHHB002973,9/4/2019,3114.00
APLU,L07-109616,APLULMY0137196,9/3/2019,3550.00
APLU,L07-109784,APLUTTGS103857,9/3/2019,3696.00
APLU,L07-109935,APLUAXK0184843,9/3/2019,3550.00
APLU,L07-109936,APLUAXK0184849,9/3/2019,3550.00
APLU,L07-109937,APLUAXK0184963,9/3/2019,3550.00
APLU,L08-056445,AYUAYU0235029,6/7/2019,1947.00
APLU,L08-056734,APLUAYU0240313,7/16/2019,7280.00
APLU,L08-056840,APLUAYU0242152,7/16/2019,3640.00
APLU,L08-057159,APLUAYU0249933,7/3/2019,6000.00
APLU,L08-057831,APLUAYU0277110,9/5/2019,1321.52
APLU,L08-057929,APLUAYU0276933,9/4/2019,760.00
APLU,L08-057944,APLUAYU0279887,9/4/2019,1520.00
APLU,L15-010959,TP19A01217,8/3/2019,1300.00
APLU,L15-011082,NAMA0437117,8/22/2019,2595.00
APLU,L15-011116,MANA0437115,8/22/2019,2335.00
APLU,L15-011167,NAMA0456083,9/4/2019,880.00
APLU,L15-011184,NAMA0458442,9/5/2019,2105.00
APLU,L15-011388,APLUTXHY005219,9/5/2019,959.00
CMA,L01-118757,CMDUTHD0518273,9/4/2019,2721.50
CMA,L01-118968,CMDUTHD0518978,9/4/2019,2681.50
CMA,L01-119092,CMDUAID0176217,9/4/2019,2315.00
CMA,L01-119093,CMDUAID0176215,9/4/2019,2315.00
CMA,L01-119094,CMDUAID0176218,9/4/2019,4630.00
CMA,L01-119095,CMDUAID0176220,9/4/2019,4630.00
CMA,L01-119096,CMDUAID0176223,9/4/2019,1850.50
CMA,L01-119302,CMDUCAD0386047,8/28/2019,1845.00
CMA,L01-119349,CMDUAID0176282,9/4/2019,2315.00
CMA,L01-119350,CMDUAID0176285,9/4/2019,2315.00
CMA,L01-119351,CMDUAID0176283,9/4/2019,2315.00
CMA,L01-119352,CMDUAID0176284,9/4/2019,2315.00
CMA,L01-119421,CMDUSEL0887921,9/4/2019,2141.50
CMA,L02-010317,NAEX2521465,7/27/2018,375.00
CMA,L02-011167,NAM3597547,8/27/2019,730.00
CMA,L03-034977,CMDUAMC0761431,9/4/2019,5535.00
CMA,L03-034978,CMDUAMC0762336,9/4/2019,1865.00
CMA,L06-009787,L06-009787,6/27/2019,50.00
CMA,L06-009859,L06-009859,6/24/2019,50.00
CMA,L07-077435,FZ17A00157,4/27/2017,374.00
CMA,L07-109612,CMDUECN0166903,9/4/2019,120.00
CMA,L08-056234,NAEX2767317,8/27/2019,270.00
CMA,L08-057301,CMDUNAM3552980,8/1/2019,3435.00
CMA,L08-057894,CMDUNAM3591373,9/4/2019,3585.00
CMA,L15-010958,CMDUCNHB024609,5/31/2019,1230.46
CMA,L15-011125,NAIM5946669,8/28/2019,3420.00
COSU,L01-098411,COSU6167592950,10/11/2017,1320.00
COSU,L01-115866,COSU6180312960,6/6/2019,0.01
COSU,L01-116810,COSU6199443380,7/16/2019,2127.00
COSU,L01-117057,COSU6199445340,7/17/2019,137.00
COSU,L01-117058,COSU6199443350,7/17/2019,137.00
COSU,L01-118859,COSU6212560730,9/4/2019,8385.00
COSU,L01-119023,COSU6217686920,9/4/2019,2710.00
COSU,L01-119825,COSU6217202000,9/4/2019,2250.00
COSU,L03-035009,COSU6217718880,9/4/2019,2723.06
COSU,L03-035043,COSU6221314150,9/3/2019,1255.00
COSU,L06-009967,COSU8022771351,7/31/2019,1650.00
COSU,L07-088747,COSU6176600162,3/2/2018,30.00
COSU,L07-102771,VN19A00609,8/22/2019,550.00
COSU,L07-103167,VN19A00168,8/22/2019,2900.00
COSU,L07-103168,VN18A08258,8/22/2019,3400.00
COSU,L07-103555,VN19A00904,7/10/2019,900.00
COSU,L07-105963,HKG19050155,6/27/2019,480.00
COSU,L07-107391,SZN19060124,8/29/2019,125.00
COSU,L07-109466,COSU6214591862,9/3/2019,2855.75
COSU,L07-109467,COSU6214591861,9/3/2019,2855.75
COSU,L07-109468,COSU6214591860,9/3/2019,3335.75
COSU,L07-109469,COSU6214589100,9/3/2019,6641.50
COSU,L07-109540,COSU6209733280,8/28/2019,2855.00
COSU,L07-109541,COSU6216049860,9/4/2019,2545.06
COSU,L07-109542,COSU6219000960,9/4/2019,2855.00
COSU,L07-109632,COSU6217723860,8/26/2019,2745.00
COSU,L07-109635,COSU6189063790,9/3/2019,3857.00
COSU,L07-109637,COSU6189063410,9/3/2019,7714.00
COSU,L07-109692,COSU6214591821,9/4/2019,2382.75
COSU,L07-109693,COSU6214591820,9/4/2019,2382.00
COSU,L07-109741,COSU6221278230,9/4/2019,2281.06
COSU,L07-109758,COSU6214584380,9/4/2019,2480.00
COSU,L07-109759,COSU6219020870,9/4/2019,2755.00
COSU,L07-109765,COSU6214533140,9/4/2019,2633.06
COSU,L07-109766,COSU6214510170,9/4/2019,2633.06
COSU,L07-109767,COSU6214579470,9/4/2019,2633.06
COSU,L07-109768,COSU6214510161,9/4/2019,2633.06
COSU,L07-109769,COSU6208791000,9/4/2019,2633.06
COSU,L07-109771,COSU6208791010,9/4/2019,2633.06
COSU,L07-109832,COSU6217761930,9/3/2019,3372.02
COSU,L07-109841,COSU6214550110,9/4/2019,2602.00
COSU,L07-109842,COSU6214539230,9/4/2019,2655.00
COSU,L07-109850,COSU6202788660,9/4/2019,2675.00
COSU,L07-109893,COSU6209730680,8/29/2019,3396.00
COSU,L07-109895,COSU6189064820,9/3/2019,7414.00
COSU,L07-109896,COSU6189064810,9/3/2019,3856.00
COSU,L07-109897,COSU6209753690,9/3/2019,3266.00
COSU,L07-109902,COSU6162602580,9/4/2019,2440.00
COSU,L07-109903,COSU6162602970,9/4/2019,2440.00
COSU,L07-110010,COSU6213245890,9/3/2019,12740.80
COSU,L07-110084,COSU6213036590,9/4/2019,5770.00
COSU,L07-110162,COSU6221272320,9/4/2019,3549.00
COSU,L07-110163,COSU6221345610,9/4/2019,6680.00
COSU,L07-110193,COSU6199356270,9/5/2019,1155.00
COSU,L08-050592,2082370320,4/5/2019,681.00
COSU,L08-050592,2082370320,4/5/2019,50.00
COSU,L08-050794,COSU8019613700,9/12/2018,50.00
COSU,L08-051456,COSU8020955550,9/5/2018,35.00
COSU,L08-051967,2082451784,11/7/2018,1235.00
COSU,L08-051982,2082451551,4/5/2019,50.00
COSU,L08-055505,COSU8022281120,5/10/2019,50.00
COSU,L08-056103,COSU802281670,6/3/2019,2120.40
COSU,L08-057537,COSU8021576590,7/29/2019,1501.00
COSU,L08-057813,COSU8022768580,8/14/2019,2980.00
COSU,L08-057815,COSU8022741380,8/23/2019,3190.00
COSU,L08-057852,COSU8022807960,8/26/2019,8147.00
COSU,L08-057933,COSU8021585570,9/4/2019,569.00
COSU,L08-057971,COSU8022825990,9/4/2019,4756.00
COSU,L08-058012,COSU8021585550,9/4/2019,569.00
COSU,L08-058028,COSU8022797613,8/29/2019,1190.00
COSU,L08-058036,COSU8022814030,9/4/2019,2335.00
COSU,L08-058039,COSU8022850850,9/4/2019,826.00
COSU,L08-058062,COSU8022767200,9/4/2019,1652.00
COSU,L08-058062,COSU8022767209,9/4/2019,1652.00
COSU,L08-058082,COSU8022842900,9/4/2019,990.00
COSU,L08-058138,COSU8021599990,9/4/2019,2759.00
COSU,L09-009675,COSU6220738330,9/3/2019,1255.00
COSU,L15-011352,COSU6218962810,9/4/2019,25987.16
COSU,L15-011353,COSU6209133440,8/28/2019,2708.02
COSU,L15-011373,COSU6217304790,9/4/2019,3315.00
